X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
108.900000000112,19.4607500000911,708,Changjiang ,Changjiang II-1,China,19.46075,108.9,100,100,Pressurized Water Reactor, ,ACP-100,Planned, , , , , , , ,https://en.wikipedia.org/wiki/Changjiang_Nuclear_Power_Plant
108.558333330341,21.6708333299204,709,Fangchenggang,Fangchenggang  6,China,21.670833,108.558333,1250,1117,Pressurized Water Reactor, ,HPR-1000,Planned, , , , , ,Guangxi Fangchenggang Nuclear Power Group, ,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
112.261111110428,21.7083333300386,710,Yangjiang,Yangjiang 3,China,21.708333,112.261111,1086,1000,Pressurized Water Reactor, ,CPR-1000,Operational,"Tuesday, November 15, 2010","Monday, October 18, 2015", , ,Guangdong Nuclear Power Joint Venture Company ,Yangjiang Nuclear Power Company,https://upload.wikimedia.org/wikipedia/commons/8/80/Yangjiang_NPP_2009-1.jpg,https://en.wikipedia.org/wiki/Yangjiang_Nuclear_Power_Station
114.544444440366,22.5638888898887,711,Daya Bay,Daya Bay2,China,22.563889,114.544444,984,944,Pressurized Water Reactor, ,M-310,Operational,"Friday, April 07, 1988","Saturday, May 06, 1994", , , ,"China Guangdong Nuclear Power Holding Co, Ltd.",https://upload.wikimedia.org/wikipedia/commons/7/71/Daya_Bay_Nuclear_Power_Plant.jpg,https://en.wikipedia.org/wiki/Daya_Bay_Nuclear_Power_Plant
108.558333330341,21.6708333299204,712,Fangchenggang,Fangchenggang  2,China,21.670833,108.558333,1080,1000,Pressurized Water Reactor, ,CPR-1000,Operational,"Friday, December 23, 2010","Sunday, October 01, 2016", , , ,Guangxi Fangchenggang Nuclear Power Group, ,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
120.155000000307,26.8036111100962,713,Xiapu,Xiapu I-2,China,26.803611,120.155,600,0,Fast Breeder Reactor, ,CFR-600,Planned, , , , , , , ,https://en.wikipedia.org/wiki/List_of_nuclear_reactors
119.447222219987,25.4458333301107,714,Fuqing,Fuqing 4,China,25.445833,119.447222,1089,1000,Pressurized Water Reactor, ,CPR-1000,Operational,"Sunday, November 17, 2012","Monday, September 17, 2017", , ,Fujian Fuqing Nuclear Co,China National Nuclear Corporation, ,https://en.wikipedia.org/wiki/Fuqing_Nuclear_Power_Plant
121.924166999694,25.0386110001845,715,Lungmen Nuclear Power Plant,Lungmen Nuclear Power Plant 2,Taiwan,25.038611,121.924167,1350,1300,Advanced Boiling Water Reactor,General Electric, ,Mothballed,1999, , , ,Taipower,Taipower,https://upload.wikimedia.org/wikipedia/commons/3/36/%E5%8F%B0%E6%B9%BE%E7%AC%AC%E5%9B%9B%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80.jpg,https://en.wikipedia.org/wiki/Lungmen_Nuclear_Power_Plant
108.900000000112,19.4607500000911,716,Changjiang ,Changjiang II-2,China,19.46075,108.9,100,100,Pressurized Water Reactor, ,ACP-100,Planned, , , , , , , ,https://en.wikipedia.org/wiki/Changjiang_Nuclear_Power_Plant
121.662499999671,25.2027780003145,717,Kuosheng Nuclear Power Plant,Kuosheng Nuclear Power Plant 1,Taiwan,25.202778,121.6625,1020,0,Boiling Water Reactor, ,BWR-6,Operational, ,December 1981,2021,2021 (Planned),Taipower,Taipower,https://upload.wikimedia.org/wikipedia/commons/d/dc/TaiwanNPP2_01.JPG,https://en.wikipedia.org/wiki/Kuosheng_Nuclear_Power_Plant
